SolarRef (%),WindRef (%) UI,LoadRef (%),SolarU (V),LoadI (mA),WindU (V),Fuel cell U (V),Fuel cell pwm (0-255),ElectrolyzerU (V),ElectrolyzerI (mA),Electrolyzer pwm (0-255),gridU (V),H2 pwm (0-255),looptime (ms),fanRaw (%) dimmer,wind pwm (0-255),mismatch flow (-),zon flow (-),wind flow (-),fuel cell flow (-),Tanklevel (mL),t (s)
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,30.67263649999998,0.773
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,30.555114479999986,0.961
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,30.613875489999984,1.151
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,30.349450944999987,1.342
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,30.202548419999985,1.532
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,30.202548419999985,1.722
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,30.143787409999987,1.915
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,30.202548419999985,2.101
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,30.173167914999993,2.291
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,30.173167914999993,2.482
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,30.143787409999987,2.679
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,30.085026399999975,2.879
0.0,0.0,0.0,0.3,4207.79,0.0,0.0,0.0,0.72,4071.06,24.0,2.09,-50.0,16.0,0.0,0.0,-4199.66,6.0,0.0,0.0,30.055645894999984,3.08
0.0,0.0,0.0,0.3,4207.79,0.0,0.0,0.0,0.72,4071.06,24.0,2.09,-50.0,16.0,0.0,0.0,-4199.66,6.0,0.0,0.0,30.11440690499998,3.279
0.0,0.0,0.0,0.3,4207.79,0.0,0.0,0.0,0.72,4071.06,24.0,2.09,-50.0,16.0,0.0,0.0,-4199.66,6.0,0.0,0.0,30.173167914999993,3.479
0.0,0.0,0.0,0.8,4209.29,0.0,0.0,0.0,1.66,4073.59,24.0,4.64,-50.0,18.0,0.0,0.0,-4189.66,16.0,0.0,0.0,30.29068993499999,3.68
0.0,0.0,0.0,0.8,4209.29,0.0,0.0,0.0,1.66,4073.59,24.0,4.64,-50.0,18.0,0.0,0.0,-4189.66,16.0,0.0,0.0,30.173167914999993,3.88
0.0,0.0,0.0,1.32,4208.94,0.0,0.0,0.0,2.62,4073.82,24.0,7.21,-50.0,16.0,0.0,0.0,-4178.86,26.400000000000002,0.0,0.0,30.11440690499998,4.082
0.0,0.0,0.0,1.32,4208.94,0.0,0.0,0.0,2.62,4073.82,24.0,7.21,-50.0,16.0,0.0,0.0,-4178.86,26.400000000000002,0.0,0.0,30.202548419999985,4.279
0.0,0.0,0.0,1.83,4210.21,0.0,0.0,0.0,3.57,4074.85,24.0,9.77,-50.0,16.0,0.0,0.0,-4168.54,36.6,0.0,0.0,29.938123874999988,4.48
0.0,0.0,0.0,1.83,4210.21,0.0,0.0,0.0,3.57,4074.85,24.0,9.77,-50.0,16.0,0.0,0.0,-4168.54,36.6,0.0,0.0,30.085026399999975,4.679
0.0,0.0,0.0,2.07,4208.94,0.01,0.0,0.0,3.9,4074.05,24.0,10.56,-50.0,16.0,0.0,0.0,-4166.59,41.4,0.003,0.0,29.849982359999984,4.881
0.0,0.0,0.0,2.07,4208.94,0.01,0.0,0.0,3.9,4074.05,24.0,10.56,-50.0,16.0,0.0,0.0,-4166.59,41.4,0.003,0.0,29.967504379999994,5.079
