SolarRef (%),WindRef (%) UI,LoadRef (%),SolarU (V),LoadI (mA),WindU (V),Fuel cell U (V),Fuel cell pwm (0-255),ElectrolyzerU (V),ElectrolyzerI (mA),Electrolyzer pwm (0-255),gridU (V),H2 pwm (0-255),looptime (ms),fanRaw (%) dimmer,wind pwm (0-255),mismatch flow (-),zon flow (-),wind flow (-),fuel cell flow (-),Tanklevel (mL),t (s)
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,5.9636317949999835,0.769
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,5.904870784999986,0.963
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,5.87549027999998,1.15
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,5.816729269999982,1.338
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,5.846109774999974,1.528
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,5.846109774999974,1.718
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,5.816729269999982,1.911
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,5.816729269999982,2.101
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,5.816729269999982,2.301
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,5.816729269999982,2.502
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,5.787348764999976,2.71
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,5.787348764999976,2.901
0.0,0.0,0.0,0.3,4198.36,0.0,0.0,0.0,1.05,4040.35,0.0,2.2,-50.0,17.0,0.0,0.0,-4188.25,6.0,0.0,0.0,5.728587754999978,3.102
0.0,0.0,0.0,0.3,4198.36,0.0,0.0,0.0,1.05,4040.35,0.0,2.2,-50.0,17.0,0.0,0.0,-4188.25,6.0,0.0,0.0,5.640446239999974,3.303
0.0,0.0,0.0,0.8,4198.48,0.0,0.0,0.0,2.49,4040.24,0.0,4.87,-50.0,17.0,0.0,0.0,-4178.36,16.0,0.0,0.0,5.669826744999995,3.511
0.0,0.0,0.0,0.8,4198.48,0.0,0.0,0.0,2.49,4040.24,0.0,4.87,-50.0,17.0,0.0,0.0,-4178.36,16.0,0.0,0.0,5.757968259999984,3.704
0.0,0.0,0.0,0.8,4198.48,0.0,0.0,0.0,2.49,4040.24,0.0,4.87,-50.0,17.0,0.0,0.0,-4178.36,16.0,0.0,0.0,5.757968259999984,3.904
0.0,0.0,0.0,1.32,4197.1,0.0,0.0,0.0,3.93,4038.28,0.0,7.54,-50.0,16.0,0.0,0.0,-4165.61,26.400000000000002,0.0,0.0,5.757968259999984,4.106
0.0,0.0,0.0,1.32,4197.1,0.0,0.0,0.0,3.93,4038.28,0.0,7.54,-50.0,16.0,0.0,0.0,-4165.61,26.400000000000002,0.0,0.0,5.728587754999978,4.305
0.0,0.0,0.0,1.84,4197.33,0.0,0.0,0.0,5.37,4037.48,0.0,10.22,-50.0,17.0,0.0,0.0,-4155.87,36.800000000000004,0.0,0.0,5.757968259999984,4.502
0.0,0.0,0.0,1.84,4197.33,0.0,0.0,0.0,5.37,4037.48,0.0,10.22,-50.0,17.0,0.0,0.0,-4155.87,36.800000000000004,0.0,0.0,5.787348764999976,4.702
0.0,0.0,0.0,2.11,4198.71,0.0,0.0,0.0,5.92,4039.89,0.0,11.01,-50.0,16.0,0.0,0.0,-4157.05,42.199999999999996,0.0,0.0,5.846109774999974,4.903
0.0,0.0,0.0,2.11,4198.71,0.0,0.0,0.0,5.92,4039.89,0.0,11.01,-50.0,16.0,0.0,0.0,-4157.05,42.199999999999996,0.0,0.0,5.816729269999982,5.105
0.0,0.0,0.0,2.12,4197.1,0.0,0.0,0.0,5.92,4038.17,0.0,11.01,-50.0,16.0,0.0,0.0,-4155.64,42.400000000000006,0.0,0.0,5.757968259999984,5.302
0.0,0.0,0.0,2.12,4197.1,0.0,0.0,0.0,5.92,4038.17,0.0,11.01,-50.0,16.0,0.0,0.0,-4155.64,42.400000000000006,0.0,0.0,5.728587754999978,5.501
0.0,0.0,0.0,2.11,4198.25,0.0,0.0,0.0,5.92,4038.74,0.0,11.01,-50.0,18.0,0.0,0.0,-4155.44,42.199999999999996,0.0,0.0,5.669826744999995,5.702
