Log file
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  5.6s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  5.8s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  5.8s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  5.9s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  6.0s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  6.1s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  6.2s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  6.3s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  6.4s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  6.6s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  6.7s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  6.8s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  6.9s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  7.0s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  7.1s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  7.2s
