SolarRef (%),WindRef (%) UI,LoadRef (%),SolarU (V),LoadI (mA),WindU (V),Fuel cell U (V),Fuel cell pwm (0-255),ElectrolyzerU (V),ElectrolyzerI (mA),Electrolyzer pwm (0-255),gridU (V),H2 pwm (0-255),looptime (ms),fanRaw (%) dimmer,wind pwm (0-255),mismatch flow (-),zon flow (-),wind flow (-),fuel cell flow (-),Tanklevel (mL),t (s)
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,7.75584259999998,0.741
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,7.785223104999986,0.932
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,7.697081589999982,1.121
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,7.66770108499999,1.311
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,7.66770108499999,1.5
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,7.66770108499999,1.691
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,7.75584259999998,1.88
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,7.726462094999988,2.115
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,7.726462094999988,2.27
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,7.726462094999988,2.471
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,7.726462094999988,2.673
0.0,0.0,100.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,7.726462094999988,0.072
0.0,0.0,100.0,0.44,4187.78,0.0,0.0,0.0,0.87,4036.44,0.0,2.07,-50.0,17.0,0.0,0.0,-4171.43,8.8,0.0,0.0,7.726462094999988,0.274
0.0,0.0,100.0,0.44,4187.78,0.0,0.0,0.0,0.87,4036.44,0.0,2.07,-50.0,17.0,0.0,0.0,-4171.43,8.8,0.0,0.0,7.63832057999997,0.47
0.0,100.0,100.0,0.44,4187.78,0.0,0.0,0.0,0.87,4036.44,0.0,2.07,-50.0,17.0,0.0,0.0,-4171.43,8.8,0.0,0.0,7.66770108499999,0.673
0.0,100.0,100.0,1.29,4186.98,0.0,0.0,0.0,2.06,4036.33,0.0,4.82,-50.0,17.0,0.0,0.0,-4156.07,25.8,0.0,0.0,7.697081589999982,0.881
0.0,100.0,100.0,1.29,4186.98,0.0,0.0,0.0,2.06,4036.33,0.0,4.82,-50.0,17.0,0.0,0.0,-4156.07,25.8,0.0,0.0,7.66770108499999,1.07
0.0,100.0,100.0,2.14,4186.63,0.0,0.0,0.0,3.25,4036.56,0.0,7.44,-50.0,17.0,95.0,0.0,-4137.63,42.800000000000004,0.0,0.0,7.726462094999988,1.271
0.0,100.0,100.0,2.14,4186.63,0.0,0.0,0.0,3.25,4036.56,0.0,7.44,-50.0,17.0,95.0,0.0,-4137.63,42.800000000000004,0.0,0.0,7.726462094999988,1.47
0.0,100.0,100.0,3.04,4189.62,0.0,0.0,0.0,4.44,4036.33,0.0,10.19,-50.0,17.0,95.0,0.0,-4122.71,60.8,0.0,0.0,7.697081589999982,1.672
0.0,100.0,100.0,3.04,4189.62,0.0,0.0,0.0,4.44,4036.33,0.0,10.19,-50.0,17.0,95.0,0.0,-4122.71,60.8,0.0,0.0,7.726462094999988,1.872
0.0,100.0,100.0,3.52,4187.09,0.0,0.0,0.0,4.9,4036.33,0.0,11.07,-50.0,16.0,95.0,0.0,-4111.93,70.4,0.0,0.0,7.726462094999988,2.072
0.0,100.0,100.0,3.52,4187.09,0.0,0.0,0.0,4.9,4036.33,0.0,11.07,-50.0,16.0,95.0,0.0,-4111.93,70.4,0.0,0.0,7.785223104999986,2.271
0.0,100.0,100.0,3.53,4188.24,0.47,0.0,0.0,4.9,4035.75,0.0,11.11,-50.0,17.0,95.0,0.0,-4098.83,70.6,0.141,0.0,7.726462094999988,2.471
0.0,100.0,100.0,3.53,4188.24,0.47,0.0,0.0,4.9,4035.75,0.0,11.11,-50.0,17.0,95.0,0.0,-4098.83,70.6,0.141,0.0,7.697081589999982,2.67
0.0,100.0,100.0,3.53,4188.24,0.47,0.0,0.0,4.9,4035.75,0.0,11.11,-50.0,17.0,95.0,0.0,-4098.83,70.6,0.141,0.0,7.75584259999998,2.87
0.0,100.0,100.0,3.59,4188.24,1.03,0.0,0.0,4.91,4036.44,0.0,11.15,-50.0,17.0,95.0,0.0,-4078.86,71.8,0.309,0.0,7.75584259999998,3.072
0.0,100.0,100.0,3.59,4188.24,1.03,0.0,0.0,4.91,4036.44,0.0,11.15,-50.0,17.0,95.0,0.0,-4078.86,71.8,0.309,0.0,7.66770108499999,3.27
0.0,100.0,100.0,3.54,4185.25,1.71,0.0,0.0,4.91,4036.67,0.0,11.16,-50.0,15.0,95.0,0.0,-4054.93,70.8,0.513,0.0,7.63832057999997,3.471
0.0,100.0,100.0,3.54,4185.25,1.71,0.0,0.0,4.91,4036.67,0.0,11.16,-50.0,15.0,95.0,0.0,-4054.93,70.8,0.513,0.0,7.697081589999982,3.67
0.0,100.0,100.0,3.5,4186.06,2.62,0.0,0.0,4.91,4036.67,0.0,11.19,-50.0,18.0,95.0,0.0,-4028.73,70.0,0.786,0.0,7.697081589999982,3.872
0.0,100.0,100.0,3.5,4186.06,2.62,0.0,0.0,4.91,4036.67,0.0,11.19,-50.0,18.0,95.0,0.0,-4028.73,70.0,0.786,0.0,7.66770108499999,4.07
0.0,100.0,100.0,3.62,4185.25,3.46,0.0,0.0,4.91,4036.33,0.0,11.5,-50.0,17.0,95.0,0.0,-3996.58,72.4,1.038,0.0,7.785223104999986,4.271
0.0,100.0,100.0,3.62,4185.25,3.46,0.0,0.0,4.91,4036.33,0.0,11.5,-50.0,17.0,95.0,0.0,-3996.58,72.4,1.038,0.0,7.726462094999988,4.47
0.0,100.0,100.0,3.62,4185.25,3.46,0.0,0.0,4.91,4036.33,0.0,11.5,-50.0,17.0,95.0,0.0,-3996.58,72.4,1.038,0.0,7.697081589999982,4.671
0.0,100.0,100.0,4.16,4185.02,4.41,0.0,0.0,4.82,4036.33,0.0,12.19,-50.0,15.0,95.0,0.0,-3953.31,83.2,1.323,0.0,7.66770108499999,4.871
0.0,100.0,100.0,4.16,4185.02,4.41,0.0,0.0,4.82,4036.33,0.0,12.19,-50.0,15.0,95.0,0.0,-3953.31,83.2,1.323,0.0,7.5501790649999805,5.071
0.0,100.0,100.0,4.85,4183.3,5.32,0.0,0.0,4.69,4036.44,0.0,12.81,-50.0,18.0,95.0,0.0,-3915.53,97.0,1.596,0.0,7.520798559999989,5.272
0.0,100.0,100.0,4.85,4183.3,5.32,0.0,0.0,4.69,4036.44,0.0,12.81,-50.0,18.0,95.0,0.0,-3915.53,97.0,1.596,0.0,7.5501790649999805,5.471
0.0,100.0,100.0,5.54,4186.52,6.07,0.0,0.0,4.51,4036.1,0.0,13.63,-50.0,16.0,95.0,0.0,-3879.92,110.8,1.821,0.0,7.63832057999997,5.671
0.0,100.0,100.0,5.54,4186.52,6.07,0.0,0.0,4.51,4036.1,0.0,13.63,-50.0,16.0,95.0,0.0,-3879.92,110.8,1.821,0.0,7.5501790649999805,5.873
0.0,100.0,100.0,6.32,4184.45,6.46,0.0,0.0,4.36,4036.33,0.0,14.15,-50.0,15.0,95.0,0.0,-3860.79,126.4,1.938,0.0,7.520798559999989,6.072
0.0,100.0,100.0,6.32,4184.45,6.46,0.0,0.0,4.36,4036.33,0.0,14.15,-50.0,15.0,95.0,0.0,-3860.79,126.4,1.938,0.0,7.432657044999985,6.27
0.0,100.0,100.0,6.45,4183.87,6.65,0.0,0.0,4.27,4035.75,0.0,14.28,-50.0,17.0,95.0,0.0,-3856.33,129.0,1.995,0.0,7.491418054999983,6.471
0.0,100.0,100.0,6.45,4183.87,6.65,0.0,0.0,4.27,4035.75,0.0,14.28,-50.0,17.0,95.0,0.0,-3856.33,129.0,1.995,0.0,7.462037549999991,6.673
0.0,100.0,100.0,6.45,4183.87,6.65,0.0,0.0,4.27,4035.75,0.0,14.28,-50.0,17.0,95.0,0.0,-3856.33,129.0,1.995,0.0,7.403276539999979,6.871
0.0,100.0,100.0,6.57,4185.37,6.69,0.0,0.0,4.26,4036.1,0.0,14.41,-50.0,17.0,95.0,0.0,-3851.73,131.4,2.007,0.0,7.520798559999989,7.071
0.0,100.0,100.0,6.57,4185.37,6.69,0.0,0.0,4.26,4036.1,0.0,14.41,-50.0,17.0,95.0,0.0,-3851.73,131.4,2.007,0.0,7.432657044999985,7.27
0.0,100.0,100.0,6.72,4186.29,6.69,0.0,0.0,4.29,4036.33,0.0,14.37,-50.0,16.0,95.0,0.0,-3851.34,134.4,2.007,0.0,7.432657044999985,7.478
0.0,100.0,100.0,6.72,4186.29,6.69,0.0,0.0,4.29,4036.33,0.0,14.37,-50.0,16.0,95.0,0.0,-3851.34,134.4,2.007,0.0,7.462037549999991,7.67
0.0,100.0,100.0,6.65,4183.99,6.69,0.0,0.0,4.27,4036.44,0.0,14.42,-50.0,16.0,95.0,0.0,-3851.63,133.0,2.007,0.0,7.403276539999979,7.871
0.0,100.0,100.0,6.65,4183.99,6.69,0.0,0.0,4.27,4036.44,0.0,14.42,-50.0,16.0,95.0,0.0,-3851.63,133.0,2.007,0.0,7.373896034999973,8.07
0.0,100.0,100.0,6.66,4186.29,6.67,0.0,0.0,4.29,4036.33,0.0,14.46,-50.0,18.0,95.0,0.0,-3855.64,133.2,2.001,0.0,7.373896034999973,8.278
0.0,100.0,100.0,6.66,4186.29,6.67,0.0,0.0,4.29,4036.33,0.0,14.46,-50.0,18.0,95.0,0.0,-3855.64,133.2,2.001,0.0,7.462037549999991,8.47
0.0,100.0,100.0,6.62,4187.67,6.65,0.0,0.0,4.29,4036.1,0.0,14.41,-50.0,16.0,95.0,0.0,-3854.08,132.4,1.995,0.0,7.462037549999991,8.671
0.0,100.0,100.0,6.62,4187.67,6.65,0.0,0.0,4.29,4036.1,0.0,14.41,-50.0,16.0,95.0,0.0,-3854.08,132.4,1.995,0.0,7.462037549999991,8.87
0.0,100.0,100.0,6.62,4187.67,6.65,0.0,0.0,4.29,4036.1,0.0,14.41,-50.0,16.0,95.0,0.0,-3854.08,132.4,1.995,0.0,7.403276539999979,9.076
0.0,100.0,100.0,6.54,4184.56,6.67,0.0,0.0,4.27,4036.1,0.0,14.4,-50.0,16.0,95.0,0.0,-3854.09,130.8,2.001,0.0,7.462037549999991,9.273
0.0,100.0,100.0,6.54,4184.56,6.67,0.0,0.0,4.27,4036.1,0.0,14.4,-50.0,16.0,95.0,0.0,-3854.09,130.8,2.001,0.0,7.462037549999991,9.47
0.0,100.0,100.0,6.61,4185.37,6.66,0.0,0.0,4.28,4036.33,0.0,14.42,-50.0,18.0,95.0,0.0,-3853.35,132.20000000000002,1.998,0.0,7.403276539999979,9.672
0.0,100.0,100.0,6.61,4185.37,6.66,0.0,0.0,4.28,4036.33,0.0,14.42,-50.0,18.0,95.0,0.0,-3853.35,132.20000000000002,1.998,0.0,7.373896034999973,9.873
0.0,100.0,100.0,6.61,4184.33,6.65,0.0,0.0,4.28,4036.44,0.0,14.44,-50.0,15.0,95.0,0.0,-3852.64,132.20000000000002,1.995,0.0,7.403276539999979,10.071
0.0,100.0,100.0,6.61,4184.33,6.65,0.0,0.0,4.28,4036.44,0.0,14.44,-50.0,15.0,95.0,0.0,-3852.64,132.20000000000002,1.995,0.0,7.432657044999985,10.271
0.0,100.0,100.0,6.58,4187.21,6.61,0.0,0.0,4.29,4035.87,0.0,14.43,-50.0,15.0,95.0,0.0,-3858.54,131.6,1.983,0.0,7.520798559999989,10.471
0.0,100.0,100.0,6.58,4187.21,6.61,0.0,0.0,4.29,4035.87,0.0,14.43,-50.0,15.0,95.0,0.0,-3858.54,131.6,1.983,0.0,7.608940074999978,10.674
0.0,100.0,100.0,6.58,4187.21,6.61,0.0,0.0,4.29,4035.87,0.0,14.43,-50.0,15.0,95.0,0.0,-3858.54,131.6,1.983,0.0,7.5501790649999805,10.871
