SolarRef (%),WindRef (%) UI,LoadRef (%),SolarU (V),LoadI (mA),WindU (V),Fuel cell U (V),Fuel cell pwm (0-255),ElectrolyzerU (V),ElectrolyzerI (mA),Electrolyzer pwm (0-255),gridU (V),H2Ref byte (0-255),looptime (ms),fanRaw (%) dimmer,wind pwm (0-255),Total current multiplier (mA),zon power (W),wind power (W),fuel cell flow (-),Tanklevel (mL),t (s)
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,57.17385201,0.784
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,56.79190544499999,0.987
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,56.38057837499999,1.187
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,56.23367584999999,1.398
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,55.73420726499999,1.587
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,55.67544625499999,1.789
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,55.73420726499999,1.986
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,55.49916322499999,2.189
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,55.41102170999999,2.387
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,55.26411918499999,2.588
0.0,0.0,0.0,0.27,-1.29,0.41,0.02,0.0,0.53,5.32,0.0,2.31,0.0,12.0,0.0,0.0,253.50506984848482,0.0,16.64619461,-2.9799,55.17597766999999,2.788
0.0,0.0,0.0,0.27,-1.29,0.41,0.02,0.0,0.53,5.32,0.0,2.31,0.0,12.0,0.0,0.0,253.50506984848482,0.0,16.64619461,-2.9799,55.26411918499999,2.987
0.0,0.0,0.0,0.76,2.16,0.95,0.06,0.0,1.34,76.62,6.0,5.15,-13.0,13.0,0.0,0.0,132.6544793106796,0.0,19.83698767,11.124000000000002,55.26411918499999,3.199
0.0,0.0,0.0,0.76,2.16,0.95,0.06,0.0,1.34,76.62,6.0,5.15,-13.0,13.0,0.0,0.0,132.6544793106796,0.0,19.83698767,11.124000000000002,55.11721665999999,3.388
0.0,0.0,0.0,0.76,2.16,0.95,0.06,0.0,1.34,76.62,6.0,5.15,-13.0,13.0,0.0,0.0,132.6544793106796,0.0,19.83698767,11.124000000000002,55.08783615499999,3.586
0.0,0.0,0.0,1.24,-0.43,1.35,0.09,0.0,2.31,120.89,3.0,7.96,-7.0,14.0,0.0,0.0,56.93390849874371,0.0,12.85060319,-3.4228,55.08783615499999,3.788
0.0,0.0,0.0,1.24,-0.43,1.35,0.09,0.0,2.31,120.89,3.0,7.96,-7.0,14.0,0.0,0.0,56.93390849874371,0.0,12.85060319,-3.4228,55.05845564999999,4.032
0.0,0.0,0.0,1.73,2.3,1.59,0.13,0.0,3.23,78.92,1.0,10.79,-3.0,12.0,0.0,0.0,23.60737232344764,0.0,7.986872782000001,24.816999999999997,54.88217261999999,4.188
0.0,0.0,0.0,1.73,2.3,1.59,0.13,0.0,3.23,78.92,1.0,10.79,-3.0,12.0,0.0,0.0,23.60737232344764,0.0,7.986872782000001,24.816999999999997,54.852792114999986,4.387
0.0,0.0,0.0,1.89,1.44,1.18,0.13,0.0,3.45,19.98,0.0,10.99,-2.0,13.0,0.0,0.0,52.620212070063694,0.0,16.97490659,15.8256,54.67650908499999,4.588
0.0,0.0,0.0,1.89,1.44,1.18,0.13,0.0,3.45,19.98,0.0,10.99,-2.0,13.0,0.0,0.0,52.620212070063694,0.0,16.97490659,15.8256,54.70588958999999,4.787
0.0,0.0,0.0,1.84,1.58,0.65,0.13,0.0,3.39,17.54,1.0,10.96,-3.0,13.0,0.0,0.0,63.70264670164233,0.0,20.44279451,17.3168,54.67650908499999,4.988
0.0,0.0,0.0,1.84,1.58,0.65,0.13,0.0,3.39,17.54,1.0,10.96,-3.0,13.0,0.0,0.0,63.70264670164233,0.0,20.44279451,17.3168,54.64712857999999,5.187
0.0,0.0,0.0,1.84,1.58,0.65,0.13,0.0,3.39,17.54,1.0,10.96,-3.0,13.0,0.0,0.0,63.70264670164233,0.0,20.44279451,17.3168,54.441465044999994,5.389
100.0,0.0,0.0,1.84,-8.05,0.28,0.13,0.0,3.28,30.76,1.0,10.96,-4.0,12.0,0.0,0.0,230.40973590191606,36.823846,6.503769871,-88.22800000000001,54.35332352999999,0.037
100.0,0.0,0.0,1.84,-8.05,0.28,0.13,0.0,3.28,30.76,1.0,10.96,-4.0,12.0,0.0,0.0,230.40973590191606,36.823846,6.503769871,-88.22800000000001,54.38270403499999,0.236
100.0,0.0,0.0,1.81,2.73,0.06,0.13,0.0,3.25,44.85,5.0,10.96,-12.0,13.0,0.0,0.0,198.86039781021898,36.823846,0.0,29.920800000000003,54.41208453999999,0.436
100.0,0.0,0.0,1.81,2.73,0.06,0.13,0.0,3.25,44.85,5.0,10.96,-12.0,13.0,0.0,0.0,198.86039781021898,36.823846,0.0,29.920800000000003,54.38270403499999,0.636
100.0,0.0,0.0,1.87,2.59,0.0,0.13,0.0,3.43,131.96,4.0,10.93,-10.0,14.0,0.0,0.0,199.5537108874657,36.823846,0.0,28.308699999999998,54.441465044999994,0.837
