SolarRef (%),WindRef (%) UI,LoadRef (%),SolarU (V),LoadI (mA),WindU (V),Fuel cell U (V),Fuel cell pwm (0-255),ElectrolyzerU (V),ElectrolyzerI (mA),Electrolyzer pwm (0-255),gridU (V),H2Ref byte (0-255),looptime (ms),fanRaw (%) dimmer,wind pwm (0-255),Total current multiplier (mA),zon power (W),wind power (W),fuel cell flow (-),Tanklevel (mL),t (s)
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,52.67863474499999,0.74
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,52.73739575499999,0.949
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,52.70801524999999,1.159
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,52.766776259999986,1.374
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,52.73739575499999,1.579
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,52.70801524999999,1.789
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,52.64925423999999,1.999
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,52.56111272499999,2.214
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,52.47297120999999,2.418
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,52.44359070499999,2.617
0.0,0.0,0.0,0.31,-1.73,0.0,0.02,0.0,0.53,0.72,0.0,2.28,0.0,12.0,0.0,0.0,1.73,0.0,0.0,-3.9443999999999995,52.47297120999999,2.819
0.0,0.0,0.0,0.31,-1.73,0.0,0.02,0.0,0.53,0.72,0.0,2.28,0.0,12.0,0.0,0.0,1.73,0.0,0.0,-3.9443999999999995,52.44359070499999,3.017
0.0,0.0,0.0,0.83,-1.44,0.0,0.04,0.0,1.26,-1.87,0.0,5.11,-1.0,12.0,0.0,0.0,1.44,0.0,0.0,-7.3584000000000005,52.41421019999999,3.22
0.0,0.0,0.0,0.83,-1.44,0.0,0.04,0.0,1.26,-1.87,0.0,5.11,-1.0,12.0,0.0,0.0,1.44,0.0,0.0,-7.3584000000000005,52.41421019999999,3.418
0.0,0.0,0.0,1.35,-1.01,0.0,0.06,0.0,1.99,0.0,0.0,7.94,-1.0,13.0,0.0,0.0,1.01,0.0,0.0,-8.019400000000001,52.41421019999999,3.619
0.0,0.0,0.0,1.35,-1.01,0.0,0.06,0.0,1.99,0.0,0.0,7.94,-1.0,13.0,0.0,0.0,1.01,0.0,0.0,-8.019400000000001,52.44359070499999,3.819
0.0,0.0,0.0,1.35,-1.01,0.0,0.06,0.0,1.99,0.0,0.0,7.94,-1.0,13.0,0.0,0.0,1.01,0.0,0.0,-8.019400000000001,52.44359070499999,4.018
0.0,0.0,0.0,1.87,-1.01,0.0,0.09,0.0,2.72,-2.73,0.0,10.76,-1.0,13.0,0.0,0.0,1.01,0.0,0.0,-10.8676,52.53173221999999,4.218
0.0,0.0,0.0,1.87,-1.01,0.0,0.09,0.0,2.72,-2.73,0.0,10.76,-1.0,13.0,0.0,0.0,1.01,0.0,0.0,-10.8676,52.53173221999999,4.418
0.0,0.0,0.0,2.02,-5.18,0.0,0.09,0.0,2.84,0.57,0.0,11.0,-1.0,12.0,0.0,0.0,5.18,0.0,0.0,-56.98,52.41421019999999,4.62
0.0,0.0,100.0,2.02,-5.18,0.0,0.09,0.0,2.84,0.57,0.0,11.0,-1.0,12.0,0.0,0.0,5.18,0.0,0.0,-56.98,52.47297120999999,0.02
0.0,0.0,100.0,2.01,1.15,0.0,0.09,0.0,2.83,1.01,0.0,11.0,-1.0,12.0,0.0,0.0,-1.15,0.0,0.0,12.649999999999999,52.44359070499999,0.22
0.0,0.0,100.0,2.01,1.15,0.0,0.09,0.0,2.83,1.01,0.0,11.0,-1.0,12.0,0.0,0.0,-1.15,0.0,0.0,12.649999999999999,52.53173221999999,0.419
0.0,0.0,100.0,2.01,395.31,0.0,0.09,0.0,2.89,0.14,0.0,10.99,0.0,11.0,0.0,0.0,-395.31,0.0,0.0,4344.4569,52.50235171499999,0.62
